Scan,Center,Count_Time
111_CFF_B36A_P16_35keV_pos2_0p5s.h5,1212,0.2
113_CFF_B36A_P11_35keV_pos1_3x3_0p2s.h5,1217,0.2
114_CFF_B36A_P11_35keV_pos1_3x3_0p2s.h5,1218,0.2
115_CFF_B36A_P11_35keV_pos1_3x3_0p2s.h5,1229,0.2
116_CFF_B36A_P11_35keV_pos1_3x3_0p2s.h5,1219,0.2
117_CFF_B36A_P11_35keV_pos1_3x3_0p2s.h5,1210,0.2
118_CFF_B36A_P11_35keV_pos1_3x3_0p2s.h5,1213.5,0.2
119_CFF_B36A_P11_35keV_pos1_3x3_0p2s.h5,1222,0.2
120_CFF_B36A_P11_35keV_pos1_3x3_0p2s.h5,1230,0.2
121_CFF_B36A_P11_35keV_pos1_3x3_0p2s.h5,1228.5,0.2
122_CFF_B36A_P11_35keV_pos2_3x3_0p2s.h5,1209.5,0.2
123_CFF_B36A_P11_35keV_pos2_3x3_0p2s.h5,1210.5,0.2
124_CFF_B36A_P11_35keV_pos2_3x3_0p2s.h5,1210,0.2
125_CFF_B36A_P11_35keV_pos2_3x3_0p2s.h5,1219.5,0.2
126_CFF_B36A_P11_35keV_pos2_3x3_0p2s.h5,1224,0.2
127_CFF_B36A_P11_35keV_pos2_3x3_0p2s.h5,1223,0.2
128_CFF_B36A_P11_35keV_pos2_3x3_0p2s.h5,1213,0.2
129_CFF_B36A_P11_35keV_pos2_3x3_0p2s.h5,1215,0.2
132_CFF_B36A_P11_35keV_pos2_0p2s.h5,1215,0.2
134_CFFB36AP11_35keV_pos2_0p5s.h5,1212,0.5
135_CFF_B36A_P110_35keV_pos2_3x3_0p2s.h5,1213.5,0.2
136_CFF_B36A_P110_35keV_pos2_3x3_0p2s.h5,1214.5,0.2
137_CFF_B36A_P110_35keV_pos2_3x3_0p2s.h5,1214,0.2
138_CFF_B36A_P110_35keV_pos2_3x3_0p2s.h5,1223.5,0.2
139_CFF_B36A_P110_35keV_pos2_3x3_0p2s.h5,1231,0.2
140_CFF_B36A_P110_35keV_pos2_3x3_0p2s.h5,1225.5,0.2
142_CFF_B36A_P110_35keV_pos2_3x3_0p2s.h5,1211,0.2
143_CFF_B36A_P110_35keV_pos2_3x3_0p2s.h5,1210,0.2
144_CFF_B36A_P110_35keV_pos1_3x3_0p2s.h5,1215,0.2
145_CFF_B36A_P110_35keV_pos1_3x3_0p2s.h5,1215,0.2
146_CFF_B36A_P110_35keV_pos1_3x3_0p2s.h5,1215,0.2
147_CFF_B36A_P110_35keV_pos1_3x3_0p2s.h5,1233,0.2
148_CFF_B36A_P110_35keV_pos1_3x3_0p2s.h5,1230,0.2
149_CFF_B36A_P110_35keV_pos1_3x3_0p2s.h5,1227,0.2
150_CFF_B36A_P110_35keV_pos1_3x3_0p2s.h5,1207,0.2
151_CFF_B36A_P110_35keV_pos1_3x3_0p2s.h5,1215,0.2
152_CFF_B36A_P110_35keV_pos1_3x3_0p2s.h5,1213,0.2
154_CFF_B36A_P9_35keV_pos1_3x3_0p2s.h5,1208.5,0.2
155_CFF_B36A_P9_35keV_pos1_3x3_0p2s.h5,1211,0.2
156_CFF_B36A_P9_35keV_pos1_3x3_0p2s.h5,1212,0.2
157_CFF_B36A_P9_35keV_pos1_3x3_0p2s.h5,1225,0.2
158_CFF_B36A_P9_35keV_pos1_3x3_0p2s.h5,1226,0.2
159_CFF_B36A_P9_35keV_pos1_3x3_0p2s.h5,1225,0.2
160_CFF_B36A_P9_35keV_pos1_3x3_0p2s.h5,1213,0.2
161_CFF_B36A_P9_35keV_pos1_3x3_0p2s.h5,1213.5,0.2
162_CFF_B36A_P9_35keV_pos1_3x3_0p2s.h5,1213,0.2
163_CFF_B36A_P9_35keV_pos2_3x3_0p2s.h5,1210.5,0.2
164_CFF_B36A_P9_35keV_pos2_3x3_0p2s.h5,1209,0.2
165_CFF_B36A_P9_35keV_pos2_3x3_0p2s.h5,1208,0.2
166_CFF_B36A_P9_35keV_pos2_3x3_0p2s.h5,1224,0.2
167_CFF_B36A_P9_35keV_pos2_3x3_0p2s.h5,1214,0.2
168_CFF_B36A_P9_35keV_pos2_3x3_0p2s.h5,1227,0.2
169_CFF_B36A_P9_35keV_pos2_3x3_0p2s.h5,1215,0.2
170_CFF_B36A_P9_35keV_pos2_3x3_0p2s.h5,1214,0.2
171_CFF_B36A_P9_35keV_pos2_3x3_0p2s.h5,1215,0.2
172_CFF_B36A_P96_35keV_2x2_0p5s.h5,1211.5,0.5
173_CFF_B36A_P96_35keV_2x2_0p5s.h5,1211.5,0.5
174_CFF_B36A_P96_35keV_2x2_0p5s.h5,1221,0.5
175_CFF_B36A_P96_35keV_2x2_0p5s,1222,0.5
176_CFF_B36A_P9_35keV_pos1_2x2_0p5s.h5,1216.5,0.5
177_CFF_B36A_P9_35keV_pos1_2x2_0p5s.h5,1215,0.5
178_CFF_B36A_P9_35keV_pos1_2x2_0p5s.h5,1221,0.5
179_CFF_B36A_P9_35keV_pos1_2x2_0p5s.h5,1222,0.5
180_CFF_B36A_P9_35keV_pos2_2x2_0p5s.h5,1219.5,0.5
181_CFF_B36A_P9_35keV_pos2_2x2_0p5s.h5,1218.5,0.5
182_CFF_B36A_P9_35keV_pos2_2x2_0p5s.h5,1219,0.5
183_CFF_B36A_P9_35keV_pos2_2x2_0p5s.h5,1219,0.5
184_CFF_B36A_P101_35keV_pos1_2x2_0p5s.h5,1230,0.5
185_CFF_B36A_P101_35keV_pos1_2x2_0p5s.h5,1224,0.5
186_CFF_B36A_P101_35keV_pos1_2x2_0p5s.h5,1210,0.5
187_CFF_B36A_P101_35keV_pos1_2x2_0p5s.h5,1213,0.5
188_CFF_B36A_P101_35keV_pos2_2x2_0p5s.h5,1231,0.5
189_CFF_B36A_P101_35keV_pos2_2x2_0p5s.h5,1226,0.5
190_CFF_B36A_P101_35keV_pos2_2x2_0p5s.h5,1211,0.5
191_CFF_B36A_P101_35keV_pos2_2x2_0p5s.h5,1211,0.5
